host,category
173.208.150.174,only_manual
173.214.25.84,only_manual
173.224.126.50,only_manual
173.236.252.171,only_manual
173.247.244.214,only_manual
173.248.156.34,only_manual
173.254.226.29,only_manual
176.105.255.25,only_manual
176.117.72.44,only_manual
176.123.5.153,only_manual
176.131.171.227,only_manual
176.31.122.37,only_manual
176.57.242.213,only_manual
176.9.1.58,only_manual
176.97.192.82,only_manual
176.97.71.194,only_manual
177.3.69.62,only_manual
178.159.12.226,only_manual
178.208.91.88,only_manual
178.210.91.8,only_manual
178.23.189.127,only_manual
178.238.41.103,only_manual
178.238.41.118,only_manual
178.238.45.183,only_manual
178.32.190.178,only_manual
178.62.63.85,only_manual
179.43.144.24,only_manual
179.43.150.77,only_manual
179.43.150.78,only_manual
179.43.151.100,only_manual
179.43.176.179,only_manual
179.43.182.200,only_manual
18.191.120.81,only_manual
18.191.168.148,only_manual
18.211.9.97,only_manual
18.217.212.219,only_manual
18.225.149.117,only_manual
18.27.72.77,only_manual
18.27.72.82,only_manual
18.27.72.85,only_manual
181.174.166.28,only_manual
181.174.166.7,only_manual
184.105.192.51,only_manual
184.154.86.160,only_manual
184.168.111.209,only_manual
184.170.142.14,only_manual
184.95.235.5,only_manual
185.117.83.83,only_manual
185.117.88.130,only_manual
185.117.88.180,only_manual
185.117.89.11,only_manual
185.119.196.179,only_manual
185.119.196.223,only_manual
185.12.46.173,only_manual
185.130.47.221,only_manual
185.14.104.34,only_manual
185.143.145.48,only_manual
185.154.15.204,only_manual
185.161.208.119,only_manual
185.162.128.160,only_manual
185.169.209.114,only_manual
185.17.144.7,only_manual
185.174.172.99,only_manual
185.180.196.134,only_manual
185.187.31.95,only_manual
185.189.13.194,only_manual
185.198.164.143,only_manual
185.198.165.235,only_manual
185.198.188.148,only_manual
185.204.0.142,only_manual
185.209.22.171,only_manual
185.217.127.158,only_manual
185.225.19.200,only_manual
185.238.170.15,only_manual
185.238.171.14,only_manual
185.238.171.179,only_manual
185.254.197.13,only_manual
185.254.197.243,only_manual
185.26.127.240,only_manual
185.57.78.155,only_manual
185.66.89.58,only_manual
185.68.70.167,only_manual
185.80.48.149,only_manual
185.80.53.151,only_manual
185.82.127.51,only_manual
185.83.144.120,only_manual
188.138.125.122,only_manual
188.138.125.234,only_manual
188.138.29.224,only_manual
188.138.29.229,only_manual
188.138.70.155,only_manual
188.138.70.186,only_manual
188.166.227.148,only_manual
188.213.140.222,only_manual
188.213.24.218,only_manual
188.213.26.17,only_manual
188.215.244.41,only_manual
188.40.168.71,only_manual
188.40.246.84,only_manual
188.40.246.88,only_manual
188.42.45.61,only_manual
190.211.252.82,only_manual
190.97.162.177,only_manual
190.97.166.138,only_manual
192.110.164.210,only_manual
192.119.64.10,only_manual
192.161.162.154,only_manual
192.169.172.175,only_manual
192.185.14.52,only_manual
192.185.64.204,only_manual
192.185.7.65,only_manual
192.210.134.19,only_manual
192.227.66.21,only_manual
192.241.162.19,only_manual
192.3.181.6,only_manual
192.30.240.44,only_manual
192.30.240.46,only_manual
192.30.240.93,only_manual
192.46.236.202,only_manual
192.99.135.3,only_manual
192.99.135.5,only_manual
192.99.140.134,only_manual
193.0.61.150,only_manual
193.178.211.133,only_manual
193.251.80.19,only_manual
